Período (años);Área (ha);Cambio %;Cambio (ha);;;
1985,00;3.596,00;-;0,00;;;
2000-2001;2.754,66;-23,39;-644,31;;841,34;23,40
2002-2003;2.040,76;-25,91;-528,76;;;
2004-2005;2.060,58;0,97;20,01;;;
2006-2007;2.140,38;3,87;82,83;;;
2007-2008;2.122,98;-0,81;-17,20;;;
2008-2009;2.315,92;9,09;210,47;;;
2010-2011;1.905,83;-17,70;-337,33;;;
2012-2013;2.254,34;18,29;412,24;;;
2014-2015;2.031,63;-9,88;-200,73;;;
2016-2017;1.741,03;-14,30;-248,97;;;
2018-2019;2.140,98;22,97;491,83;;;
2020-2021(may);1.641,75;-23,31;-382,69;;;
Pérdida (1985 a 2021may);;54,35;1.954,25;;;
